Client family name	Sequence #	Time of sample in annot	Time of sample in recording	Date Time of recording	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue
vp047	1	0.0087	1.1032	11.04.2025 11:38:43	Bitte Befragung	r	-58.5502	-34.4524	-65.2817	-24.7391	-63.5775	-13.5722	-55.3451	-6.5079	-45.4071	-1.4302	-36.9217	3.9658	-27.0795	5.2293	-22.4418	6.7106	-17.6929	8.9201	-13.3524	11.6647	-9.4941	14.3543
vp047	1	0.0210	1.1155	11.04.2025 11:38:43	Bitte Befragung	r	-58.4679	-33.6303	-64.8307	-24.3492	-62.9863	-12.8083	-54.4350	-6.0116	-44.2842	-0.8998	-35.8780	4.0962	-26.0680	5.3117	-21.2233	6.3870	-16.4148	8.2881	-11.7495	10.5897	-7.2916	12.6041
vp047	1	0.0332	1.1278	11.04.2025 11:38:43	Bitte Befragung	r	-57.7345	-33.6645	-64.2263	-24.2481	-63.2538	-12.8061	-54.1413	-5.6272	-44.1145	-0.6244	-35.2971	4.7054	-25.1952	5.5168	-20.2571	6.6194	-15.4393	8.7356	-10.5301	10.4486	-5.8466	11.6791
vp047	1	0.0455	1.1400	11.04.2025 11:38:43	Bitte Befragung	r	-58.3290	-33.0161	-64.9433	-24.2912	-63.2936	-13.2471	-55.4466	-6.3290	-45.6777	-1.5180	-37.8739	4.5065	-28.2582	5.7082	-23.6665	6.4313	-18.6144	8.5249	-14.5591	11.2404	-10.3464	14.4007
vp047	2	0.0056	0.8709	11.04.2025 11:38:48	Bitte Fraktion	r	-60.4648	-33.9444	-66.4338	-24.6599	-64.3333	-13.5369	-55.4715	-7.1328	-45.5696	-2.0969	-36.3071	2.5650	-26.0096	3.6650	-21.1813	4.6942	-16.3010	6.9128	-12.6063	10.7266	-9.7975	15.0363
vp047	2	0.0178	0.8831	11.04.2025 11:38:48	Bitte Fraktion	r	-60.7256	-36.6641	-67.6776	-26.0934	-64.7865	-14.1773	-55.7257	-7.4899	-45.3788	-2.5708	-36.2216	3.1317	-25.7729	3.8433	-20.1557	4.4806	-15.3839	6.1720	-9.9746	7.3672	-4.6852	7.4842
vp047	2	0.0301	0.8954	11.04.2025 11:38:48	Bitte Fraktion	r	-60.4860	-34.3621	-66.3137	-24.4523	-64.0965	-13.0014	-54.0848	-6.4078	-44.0665	-0.5348	-34.9720	4.5887	-24.4733	5.1593	-19.5273	5.7901	-14.5226	7.5661	-9.5997	9.2752	-4.8958	11.6540
vp047	3	0.0028	1.0058	11.04.2025 11:38:53	Ohne umrunden	r	-57.8871	-37.4133	-64.7769	-26.9310	-65.4158	-14.1955	-58.9343	-4.0467	-49.0535	2.6992	-36.9159	2.8439	-25.4234	1.3886	-19.0470	1.2935	-12.8644	1.4704	-6.3704	1.4361	-1.1115	-0.0601
vp047	3	0.0151	1.0181	11.04.2025 11:38:53	Ohne umrunden	r	-56.5178	-36.6688	-63.7900	-26.3051	-64.6404	-13.6601	-57.9765	-3.8481	-47.5563	2.5342	-35.3251	3.7897	-23.3116	2.1116	-17.1415	2.3907	-10.0865	2.5283	-3.9808	1.6764	2.0386	-0.5022
vp047	3	0.0274	1.0304	11.04.2025 11:38:53	Ohne umrunden	r	-56.4071	-35.1418	-63.8087	-25.0197	-64.9824	-12.7103	-57.9307	-3.0759	-47.0689	2.7470	-34.8987	4.3686	-23.3640	3.6406	-17.4953	3.8299	-11.1683	3.5661	-4.6838	3.2899	1.3028	2.2096
vp047	3	0.0396	1.0426	11.04.2025 11:38:53	Ohne umrunden	r	-56.7113	-35.5643	-64.0113	-25.2094	-65.3687	-13.5816	-58.4922	-3.6845	-48.5650	1.7776	-37.7260	5.2535	-27.2360	4.9889	-21.8699	5.3057	-16.9405	7.6229	-12.1398	10.1670	-7.8548	12.2753
