vp	file	rhotic_label	rhotic_start	rhotic_end	rhotic_dur	rhotic_mid	no_closures_total	rhotic_centre_of_gravity	rhotic_sd	rhotic_skewness	rhotic_kurtosis	rhotic_central_moment	rhotic_intensity	rhotic_intensity_norm
23	vp023_Danke_Virus0	a_t_2_v	1.3104251854333917	1.3598103848029819	0.04938519936959018	0.704597792086286	1	867.35	1254.89	5.67	35.13	11201640469.26	68.3	78.18
23	vp023_Danke_Volltreffer0	a_t_2_u	1.252066066590019	1.2913338665283423	0.0392677999383233	0.6653008332333328	1	3896.65	2403.73	0.67	-0.52	9268819887.7	69.03	74.29
23	vp023_Danke_Zentrum0	a_t_2_v	1.5022582812030212	1.554111079864129	0.051852798661107924	0.8029819392626185	1	801.07	599	6.67	79.45	1432723453.22	69.6	77.2
23	vp023_Danke_abschreiben0	a_t_2_v	1.2803781632691107	1.3447351804026852	0.06435701713357456	0.7045460987681299	1	3790.24	3170.44	0.88	-0.36	28096574269.74	67.35	72.86
23	vp023_Danke_abtrocknen0	a_t_2_v	1.4794972478172386	1.5288371455582075	0.04933989774096892	0.7890885216495882	1	918.01	1116.99	5.98	40.07	8332907361.33	70.45	76.08
23	vp023_Danke_anbrennen0	a_t_2_v	1.3488568239066354	1.4193824582760595	0.07052563436942405	0.7449540463227418	1	5450.05	3585.73	0.3	-1.24	13814433283.34	72.98	79.26
23	vp023_Danke_anschreien0	a_t_2_v	1.4027500505652823	1.460609963525282	0.057859912959999704	0.7592349382426409	1	4713.76	2265.27	-0.2	-0.92	-2290457970.64	69.53	77.5
23	vp023_Danke_auffrischen0	a_t_2_v	1.6980835306762005	1.7697668082258027	0.07168327754960213	0.9207250428877024	1	1102.15	997.33	4.83	31.21	4795235491.64	69.84	74.71
23	vp023_Danke_bekreuzigen0	a_t_2_v	1.2121199569669912	1.2503049155717734	0.038184958604782215	0.6442449370882778	1	967.92	583.81	3.99	41.55	793481011.41	70.48	80.01
23	vp023_Danke_beruhigen0	a_t_2_v	1.343452762518412	1.3734451862814143	0.029992423763002263	0.7017188050222083	1	1899.26	2225.3	1.42	0.6	15678553317.19	69.6	76.24
23	vp023_Danke_brechen0	a_t_2_v	1.16732660813809	1.22712	0.05979339186191002	0.643456695930955	2	954.64	633.98	5	44.66	1272915182.69	74.28	81.17
23	vp023_Danke_brennen0	a_t_2_v	1.157842637935195	1.2215018228654246	0.0636591849302297	0.6425805038978272	1	1143.61	425.8	2.58	47.11	198925324.67	72.75	79.6
23	vp023_Danke_bringen0	a_t_2_v	1.1958288135961745	1.26712	0.07129118640382548	0.6692055932019128	1	941.44	712.08	8.24	85.08	2975833832.05	73.68	83.16
23	vp023_Danke_druecken0	a_t_2_v	1.201598056778559	1.2711548045002437	0.06955674772168474	0.6703557761109642	1	683.36	299.79	18.21	477.47	490769992.36	73.71	79.8
23	vp023_Danke_einrollen0	a_t_2_v	1.50712	1.57712	0.07000000000000006	0.8235600000000001	1	1097.15	796.25	5.26	46.02	2656954931.85	67.4	74.23
23	vp023_Danke_erschrecken0	a_t_2_v	1.3919468972333389	1.4494379199971084	0.057491022763769495	0.7534644713804389	1	2869.39	2918.16	1.45	1.03	36084083858.01	72.06	75.28
23	vp023_Danke_extra0	a_t_2_v	1.6076853364400365	1.6542037784205	0.0465184419804634	0.8503611102004817	1	1291.78	1396.7	4.32	22.75	11766242955.61	69.87	75.65
23	vp023_Danke_frisch0	a_t_2_v	1.2203257037389856	1.282111843296023	0.06178613955703738	0.6719489914265302	1	1581.25	1299.26	3.06	10.34	6701850271.7	72.38	82.54
23	vp023_Danke_gebraten0	a_t_2_v	1.274880552998248	1.3242412596126902	0.04936070661444214	0.6868009831135662	1	803.35	317.09	5.46	97.73	174159338.37	72.71	80.56
23	vp023_Danke_heiraten0	a_t_2_v	1.4357064125101473	1.469719928650727	0.03401351614057968	0.7518667223956533	1	1098.16	554.58	1.84	12.75	313718556.58	68.79	73.72
23	vp023_Danke_prallen0	a_t_2_v	1.3421342706317623	1.3827332793606089	0.040599008728846586	0.7116661440447277	1	3993.31	3271.02	0.99	-0.47	34497417175.75	68.34	76.03
23	vp023_Danke_radikal0	a_t_2_v	1.3890393378095223	1.4690210701596504	0.07998173235012818	0.7745014012548893	1	2714.85	2928.62	1.47	1.32	36955498320.55	70.27	77.48
23	vp023_Danke_rational0	a_t_2_v	1.1135024343192974	1.1801528474556668	0.06665041313636944	0.6234016302960181	1	689.18	816.66	7.65	65.69	4167815629.53	66.22	75.46
23	vp023_Danke_ruhig0	a_t_2_v	1.17712	1.2339899401257355	0.05686994012573554	0.6454299401257355	1	1240.36	1007.7	4.11	29.87	4208378656.76	70.01	76.66
23	vp023_Danke_schraeg0	a_t_2_v	1.1292648873614695	1.2055852794164559	0.07632039205498642	0.6409528357357211	1	800.8	612.66	8.03	94.6	1845838032.97	70.18	79.5
23	vp023_Danke_schwierig0	a_t_2_v	1.40712	1.44712	0.040000000000000036	0.74356	1	839.42	891.1	6.76	56.37	4783241602.54	67.8	76.99
23	vp023_Danke_umkrempeln0	a_t_2_v	1.5524923995578963	1.6150269073642063	0.06253450780630998	0.8387807075852581	1	3034.66	1206.97	1.58	12.76	2786273466.33	74.54	82.2
23	vp023_Danke_unfreundlich0	a_t_2_u	1.3468918011929316	1.3927306052629966	0.04583880407006502	0.7192847046665308	2	2631.03	2716.12	1.67	1.72	33481027668.19	69.07	76.3
23	vp023_Danke_unkritisch0	a_t_2_v	1.5145711955218122	1.564579190303061	0.05000799478124884	0.8072935925421549	1	914.25	1249.34	4.63	23.43	9034606871.95	70.93	79.42
23	vp023_Danke_unprofessionell0	a_t_1_u	1.3337261221024312	1.3564119076454533	0.02268578554302203	0.6895488465942377	1	835.87	523.71	5.85	63.53	839601543.65	65.17	70.88
23	vp023_Danke_unterschreiben0	a_t_2_v	1.5026747314335898	1.5603282376242527	0.057653506190662895	0.8089908719074578	1	3924.15	1984.85	0.4	0.3	3128039462.13	71.05	75.35
23	vp023_Danke_verbrannt0	a_t_2_v	1.2929933136113794	1.3490858227940037	0.05609250918262432	0.702589165988314	1	3132.24	3519.43	1.18	-0.14	51232356149.03	73.15	79.01
23	vp023_Danke_verkraften0	a_t_2_v	1.4694633955848775	1.5104170752343484	0.04095367964947094	0.7756853774419097	1	668.91	1128.33	6.84	49.98	9823486095.91	70.33	75.86
23	vp023_Danke_zufrieden0	a_t_2_v	1.3541550111492786	1.4143303181749662	0.06017530702568763	0.7372528126003269	1	1320.4	757.3	3.48	26.92	1510877841.61	74.25	81.13
23	vp023_Ohne_Adresse0	a_t_2_v	1.3697091953002634	1.42712	0.057410804699736584	0.7422654023498683	1	3031.18	3112.2	1.44	0.73	43352341252.25	70.58	80.71
23	vp023_Ohne_Auftritt0	a_t_2_v	1.4950332442172871	1.5468663773385145	0.05183313312122739	0.799349755229871	1	669.8	656.48	6.34	50.68	1793058903.75	69.25	78.57
23	vp023_Ohne_Baumfrosch0	a_t_2_v	1.4650392919725015	1.527397928004361	0.06235863603185954	0.7948782820181103	1	1731.78	1329.51	1.6	4.66	3766616187.64	70.03	74.41
23	vp023_Ohne_Brand0	a_t_2_v	1.1832165508535144	1.24712	0.0639034491464856	0.6555117245732428	1	2181.82	2749.85	2.05	3.16	42687567133.55	72.6	81.84
23	vp023_Ohne_Brasilien0	a_t_2_v	1.1623578603440492	1.21712	0.05476213965595078	0.6359410698279754	1	3717.97	3647.3	0.92	-0.63	44872461259.39	76.22	83.34
23	vp023_Ohne_Braten0	a_t_2_v	1.0925143072088186	1.1519099076360748	0.05939560042725622	0.6056527540316655	1	4541.72	3253.12	0.36	-0.96	12302527628.59	73.67	82.16
23	vp023_Ohne_Brigade0	a_t_2_v	1.0678693487390196	1.1344936415810791	0.06662429284205951	0.6005589672115693	1	626.34	474.2	10.57	139.05	1126964728.05	77.45	86.43
23	vp023_Ohne_Chromosom0	a_t_2_v	1.0248607573687736	1.0583412824397533	0.03348052507097976	0.5459109037553665	1	617.22	572.89	6.23	51.56	1170662618.92	69.51	80.89
23	vp023_Ohne_Dreck0	a_t_2_v	1.2087202278323386	1.2734882595467067	0.06476803171436818	0.6691281456305375	1	3918.54	3294.58	0.9	-0.31	32276464303.93	71.89	81.94
23	vp023_Ohne_Drohung0	a_t_2_v	1.0704663701045034	1.1297692669031412	0.05930289679863776	0.5945360818508895	1	3467.12	3580.62	1.05	-0.32	48033000687.79	75.02	83.24
23	vp023_Ohne_Drucker0	a_t_2_v	1.0841994688108032	1.1399649633320519	0.05576549452124868	0.5978652289266503	1	996.8	1563.37	4.42	19.78	16886742868.44	76.3	84.13
23	vp023_Ohne_Einbrecher0	a_t_2_v	1.317120039508765	1.3820716229874606	0.06495158347869556	0.7235116032330781	1	959.49	790.73	5.31	44.7	2626993656.18	68.86	77.12
23	vp023_Ohne_Einbruch0	a_t_2_v	1.4386142377835267	1.5036575956841076	0.06504335790058091	0.7843504767923443	1	746.18	644.54	8.41	84.4	2253208451.39	69.3	79.6
23	vp023_Ohne_Eindruck0	a_t_2_v	1.5713980856299106	1.62712	0.05572191437008933	0.8414209571850446	1	3145.64	3502.94	1.34	0.21	57689481440.53	70.88	78.82
23	vp023_Ohne_Fabrik0	a_t_2_v	1.298802200540888	1.3585699995673546	0.05976779902646667	0.7091688992969106	1	624.19	493.54	10.58	144.13	1271316402.19	72.64	80.43
23	vp023_Ohne_Front0	a_t_2_v	0.91832701927601	0.9837766531568274	0.06544963388081737	0.5246131435188224	1	632.58	319.17	13.1	253.2	425884386.48	74.01	81.65
23	vp023_Ohne_Frost0	a_t_2_v	1.2117960155337666	1.2713663563985824	0.05957034086481583	0.6654683486316991	1	2036.94	1468.93	2.25	5.64	7130574173.39	72.78	80.86
23	vp023_Ohne_Frucht0	a_t_2_v	1.1944497816002935	1.25176540451327	0.05731562291297654	0.6545405137131233	1	3417.86	2841.96	1.19	0.55	27267398215.82	74.22	82.38
23	vp023_Ohne_Fruechte0	a_t_2_v	1.1045413812521685	1.1748161244366588	0.07027474318449034	0.6225454338105746	1	2680.63	3204.34	1.55	1.05	51050943293.76	74.96	84.78
