Client family name	Sequence #	Time of sample in annot	Time of sample in recording	Date Time of recording	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue
vp008	6	0.0021	1.3676	14.02.2025 13:24:10	Bitte Zigarette	r	-41.2765	-45.6035	-48.4211	-37.2574	-51.5087	-26.7579	-49.6007	-16.5364	-44.2253	-7.9247	-34.9400	-1.5611	-24.8367	0.6724	-18.9170	1.4743	-12.5833	2.5796	-6.9779	3.3475	-0.8822	3.3620
vp008	6	0.0144	1.3799	14.02.2025 13:24:10	Bitte Zigarette	r	-41.2880	-45.4884	-48.0746	-37.3155	-51.2878	-26.9241	-49.3903	-17.0075	-44.0551	-8.4213	-35.4230	-1.6683	-25.8350	0.9465	-20.2017	2.2807	-14.6294	3.5465	-9.0649	4.3350	-3.6948	4.4764
vp008	6	0.0266	1.3921	14.02.2025 13:24:10	Bitte Zigarette	r	-41.6500	-46.3775	-47.6869	-37.7811	-50.8467	-27.2170	-49.4032	-17.0593	-44.0384	-8.6981	-35.1505	-1.4845	-24.6645	1.8484	-19.2358	3.3014	-13.6657	4.2095	-8.0494	5.0145	-2.1189	5.1052
vp008	7	0.0092	1.0625	14.02.2025 13:24:15	Ohne Kröte	r	-41.8971	-44.4955	-47.8838	-35.2139	-51.2187	-24.9529	-50.8849	-14.2067	-45.3455	-5.2464	-34.7202	0.5753	-23.7517	1.8150	-17.4901	2.4031	-11.2280	3.4540	-5.6029	4.4671	0.4974	3.9700
vp008	7	0.0215	1.0747	14.02.2025 13:24:15	Ohne Kröte	r	-40.6391	-44.5183	-46.9175	-35.6990	-50.2268	-25.1189	-50.1070	-14.7848	-45.2579	-5.6093	-35.3473	0.5454	-24.6740	2.0357	-19.0309	2.6090	-12.6017	3.5500	-7.0849	4.2412	-1.4440	3.7169
vp008	7	0.0338	1.0870	14.02.2025 13:24:15	Ohne Kröte	r	-40.5912	-44.6034	-46.5907	-35.5120	-50.0528	-24.9388	-49.3208	-14.5060	-44.4081	-5.1963	-34.7454	1.1875	-24.1415	3.0503	-18.5560	3.4150	-12.4026	4.1258	-6.8941	4.2512	-0.6966	3.3043
vp008	8	0.0037	1.3380	14.02.2025 13:24:20	Bitte Zitrone	r	-40.4707	-45.1805	-45.6359	-35.4256	-48.3603	-24.8042	-47.5192	-14.4930	-41.0357	-6.4176	-31.1911	0.1206	-20.3839	1.4626	-14.3496	1.6761	-8.6808	2.0224	-3.0913	2.0665	2.6123	1.9681
vp008	8	0.0160	1.3502	14.02.2025 13:24:20	Bitte Zitrone	r	-39.8442	-45.9935	-45.6973	-36.6285	-49.1681	-26.2515	-47.9273	-15.6215	-42.3375	-7.1461	-32.4403	-0.9538	-21.8323	1.1053	-16.1597	1.8479	-10.2103	2.8888	-4.3520	2.8798	1.5620	2.8140
vp008	8	0.0282	1.3625	14.02.2025 13:24:20	Bitte Zitrone	r	-41.1228	-45.8170	-47.0108	-36.9968	-50.1937	-26.5662	-49.4124	-15.9569	-43.8232	-7.6487	-34.6421	-1.6568	-24.6956	0.6844	-19.0762	1.8514	-13.3320	3.4899	-8.1411	5.2689	-3.3376	7.4809
vp008	8	0.0405	1.3748	14.02.2025 13:24:20	Bitte Zitrone	r	-40.5128	-45.7411	-47.2476	-37.1169	-50.7401	-26.8186	-50.1969	-16.3495	-44.5479	-8.4671	-35.3682	-1.6589	-25.5033	0.0342	-20.0212	1.2634	-14.4137	2.9832	-9.2082	3.8025	-4.3433	4.2830
vp008	9	0.0089	1.3043	14.02.2025 13:24:25	Ohne Grube	r	-41.4660	-43.2345	-48.7907	-33.5655	-53.5434	-22.8769	-51.8060	-11.8935	-44.8301	-2.9688	-34.4476	1.1023	-24.4024	0.8204	-18.5654	-0.1257	-11.8067	-0.3191	-6.2406	-1.3507	-0.4984	-3.2987
vp008	9	0.0212	1.3166	14.02.2025 13:24:25	Ohne Grube	r	-41.9779	-44.1905	-49.1314	-34.6102	-53.6351	-24.1204	-52.3421	-13.1013	-45.6785	-3.9937	-35.3792	0.7194	-24.5810	1.0880	-18.3954	0.4716	-12.0676	-0.4301	-6.4754	-1.4109	-0.5960	-2.7669
vp008	9	0.0334	1.3288	14.02.2025 13:24:25	Ohne Grube	r	-42.5757	-44.5710	-49.3079	-34.5417	-53.0878	-23.8936	-52.5595	-12.7387	-45.4444	-3.5559	-34.4270	1.2234	-23.9216	0.8435	-17.5584	-0.1583	-11.2769	-0.2747	-5.6036	-0.5609	-0.0788	-1.2616
