Client family name	Sequence #	Time of sample in annot	Time of sample in recording	Date Time of recording	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue
vp006	1	0.0118	0.7446	13.02.2025 16:20:49	Bitte Ruine	r	-53.0107	-42.3569	-59.8475	-31.5012	-62.2082	-19.0719	-60.5729	-6.9261	-52.8536	2.1661	-42.1410	7.2798	-31.1743	7.3405	-25.5836	4.7080	-21.0173	2.1907	-16.3739	-1.1952	-12.9471	-6.5598
vp006	1	0.0240	0.7569	13.02.2025 16:20:49	Bitte Ruine	r	-52.3807	-42.0040	-59.2252	-31.9173	-62.4068	-19.8964	-61.5714	-8.1014	-54.4707	1.5677	-44.8631	7.6119	-34.0217	8.3064	-28.5685	8.0488	-22.9948	7.9015	-18.1308	7.3214	-11.6043	9.7069
vp006	1	0.0363	0.7692	13.02.2025 16:20:49	Bitte Ruine	r	-52.9531	-41.5993	-59.9643	-30.9779	-62.9671	-19.1134	-61.3722	-6.1780	-54.0555	2.9049	-43.8491	9.5133	-33.1435	9.5253	-27.5068	6.8920	-22.0479	4.0931	-17.1673	0.2384	-13.7208	-5.5894
vp006	2	0.0079	0.9368	13.02.2025 16:20:54	Bitte Kontrolle	r	-52.3315	-39.8118	-59.1755	-29.6471	-62.3517	-17.4266	-60.7939	-5.6236	-52.8003	3.0008	-41.2402	7.4999	-29.4906	5.9413	-23.4766	4.6183	-16.9929	4.1642	-10.6986	4.4821	-3.7383	3.8251
vp006	2	0.0201	0.9490	13.02.2025 16:20:54	Bitte Kontrolle	r	-52.5337	-41.2018	-59.0499	-31.0356	-61.5498	-18.4949	-60.8969	-5.9817	-52.6911	2.9279	-41.4848	7.1746	-29.9910	5.1752	-23.8448	2.9351	-17.2142	2.2601	-10.8430	1.7101	-5.1926	-0.7115
vp006	2	0.0324	0.9613	13.02.2025 16:20:54	Bitte Kontrolle	r	-53.1081	-41.4924	-58.9412	-30.8122	-62.1635	-18.6644	-61.5696	-7.0005	-53.4664	3.0196	-42.2337	7.0067	-31.4598	4.3080	-25.2664	1.7868	-19.2205	0.8516	-12.9569	-0.1098	-7.0370	-1.5761
vp006	2	0.0447	0.9736	13.02.2025 16:20:54	Bitte Kontrolle	r	-53.0326	-40.7206	-59.4009	-30.3586	-62.8067	-18.6761	-62.0525	-7.3290	-54.4490	1.9835	-43.7948	6.2242	-32.5158	4.1766	-26.5929	1.4666	-20.3176	0.1091	-14.8811	-0.8042	-9.3098	-2.7118
vp006	2	0.0569	0.9858	13.02.2025 16:20:54	Bitte Kontrolle	r	-52.8860	-40.6077	-59.7272	-30.6629	-63.3823	-19.5341	-63.5184	-8.3274	-55.7824	0.6668	-45.3618	5.5697	-35.1397	3.8408	-28.5086	1.2275	-22.0088	-0.2541	-15.6238	-1.5656	-9.3028	-3.7540
vp006	2	0.0692	0.9981	13.02.2025 16:20:54	Bitte Kontrolle	r	-53.3962	-42.3945	-60.5554	-32.3012	-63.4953	-20.8231	-62.4800	-9.4336	-55.5529	0.3243	-44.7653	5.4537	-34.0625	3.7193	-27.9773	1.3378	-22.4892	-0.2146	-16.6594	-2.1659	-11.5124	-5.8031
vp006	3	0.0069	0.7434	13.02.2025 16:20:59	Danke Tribut	r	-52.8739	-40.2585	-59.8591	-30.1516	-61.0494	-17.7599	-58.0957	-6.1935	-49.3045	2.5842	-37.8019	8.3422	-25.3203	8.6876	-19.3378	7.2580	-13.3138	6.1568	-7.1746	5.7155	-1.2736	4.4628
vp006	3	0.0192	0.7557	13.02.2025 16:20:59	Danke Tribut	r	-51.6628	-39.6088	-59.1166	-29.8037	-61.7194	-17.9390	-60.1590	-5.5331	-50.3361	2.9538	-38.8301	8.3666	-26.5076	8.1081	-20.4282	6.8354	-14.7007	5.4763	-8.0560	4.5626	-1.8716	3.5497
vp006	3	0.0314	0.7679	13.02.2025 16:20:59	Danke Tribut	r	-53.2957	-39.9275	-60.3222	-29.9608	-62.8446	-17.0914	-60.5723	-4.4558	-50.1551	3.7560	-38.4517	8.8993	-26.2322	7.9857	-20.4917	6.0570	-15.0402	4.1782	-8.4837	2.3723	-2.0698	0.9613
vp006	3	0.0437	0.7801	13.02.2025 16:20:59	Danke Tribut	r	-53.1748	-39.6407	-60.5110	-30.1017	-63.1694	-17.2511	-61.2605	-4.8036	-50.5872	3.9881	-38.5053	9.2394	-25.9202	7.2542	-19.9252	5.0662	-13.9211	3.1994	-7.2519	2.0461	-1.3972	1.4621
vp006	3	0.0560	0.7924	13.02.2025 16:20:59	Danke Tribut	r	-53.7526	-40.8850	-61.8084	-30.6649	-64.0635	-17.7369	-61.7381	-4.9136	-51.1798	4.0318	-39.3022	7.9798	-26.6978	7.4615	-20.8207	5.4980	-15.3426	3.1544	-8.9943	0.4549	-2.7702	-2.2021
vp006	3	0.0682	0.8047	13.02.2025 16:20:59	Danke Tribut	r	-53.0236	-39.2438	-61.5627	-30.0983	-64.3635	-16.8305	-61.2377	-4.6981	-50.9445	4.1878	-38.9201	8.7705	-26.5743	7.7196	-20.7688	5.4496	-15.1083	3.1553	-8.6152	0.5348	-2.3931	-1.8237
vp006	3	0.0805	0.8169	13.02.2025 16:20:59	Danke Tribut	r	-52.7004	-39.2409	-60.2082	-28.8465	-61.9863	-16.2025	-59.3323	-3.5940	-49.1960	4.1404	-37.3763	9.5476	-25.4711	8.6821	-19.6287	6.7276	-14.2733	4.2624	-8.0703	1.2367	-1.7747	-1.0962
vp006	4	0.0045	0.7443	13.02.2025 16:21:03	Bitte Schritt	r	-52.6150	-39.9107	-60.3993	-30.8413	-62.2512	-18.8608	-59.7426	-7.1457	-51.7189	1.7484	-40.5862	7.6064	-28.6695	8.0780	-22.9862	6.8080	-16.8259	7.2988	-10.1884	8.3676	-4.2406	8.4966
vp006	4	0.0168	0.7566	13.02.2025 16:21:03	Bitte Schritt	r	-52.4766	-39.4300	-60.5257	-30.0072	-62.9651	-18.1176	-60.4117	-5.7451	-51.1912	2.7977	-39.7970	7.7228	-28.5331	7.1694	-22.4593	5.7870	-16.0901	6.1042	-9.9618	6.5872	-3.8925	5.7354
vp006	4	0.0290	0.7689	13.02.2025 16:21:03	Bitte Schritt	r	-52.6381	-39.8442	-60.3848	-30.0027	-62.8068	-18.3447	-60.7454	-6.1238	-52.0359	3.0896	-40.1411	7.7267	-28.5361	7.9533	-23.4352	5.9148	-16.8164	4.8493	-10.7952	5.0918	-4.3470	4.7131
vp006	4	0.0413	0.7811	13.02.2025 16:21:03	Bitte Schritt	r	-53.2582	-39.9888	-60.6328	-29.8306	-63.1233	-17.6522	-61.3167	-5.1164	-52.0581	3.6371	-39.9925	7.7893	-28.3354	6.9786	-22.8172	5.0405	-16.5141	4.2725	-10.2044	3.8028	-3.7893	2.8787
vp006	4	0.0536	0.7934	13.02.2025 16:21:03	Bitte Schritt	r	-53.9773	-40.9287	-61.9024	-31.2090	-63.7730	-19.3006	-61.4783	-6.7538	-51.8788	3.0123	-39.3190	7.4296	-27.4270	6.3857	-21.5010	4.3393	-15.4043	3.3246	-8.7003	2.3996	-2.5266	1.3036
vp006	4	0.0658	0.8057	13.02.2025 16:21:03	Bitte Schritt	r	-54.6266	-41.0686	-61.7763	-30.8749	-63.1015	-18.7794	-60.7747	-5.4249	-50.9241	3.4527	-39.0366	7.8765	-26.9981	6.8867	-21.1094	4.3693	-14.8776	2.8444	-8.4353	1.5385	-2.4272	0.8582
vp006	5	0.0039	0.7589	13.02.2025 16:21:08	Ohne Frucht	r	-52.7437	-42.2621	-59.7925	-31.7928	-61.9488	-19.6251	-60.3925	-8.2100	-53.3974	1.3448	-43.3637	6.7696	-32.4346	5.5808	-27.0372	3.3843	-22.4469	0.5424	-18.0465	-3.6441	-14.5966	-8.3388
vp006	5	0.0161	0.7712	13.02.2025 16:21:08	Ohne Frucht	r	-52.8103	-42.4721	-60.1850	-31.8248	-62.9596	-19.7640	-60.8901	-8.0763	-54.2188	1.6478	-44.1832	7.7444	-33.5762	6.2046	-27.7449	3.4996	-23.6325	-0.1787	-18.7088	-4.0144	-15.1747	-8.8361
vp006	5	0.0284	0.7834	13.02.2025 16:21:08	Ohne Frucht	r	-53.2196	-41.5529	-60.4493	-31.0470	-63.6797	-19.3253	-62.4513	-8.0518	-55.3466	1.7065	-45.2929	6.6600	-34.4570	6.2531	-28.8322	4.2450	-24.2263	0.8304	-19.8644	-3.6979	-16.4725	-8.7530
vp006	5	0.0406	0.7957	13.02.2025 16:21:08	Ohne Frucht	r	-53.2749	-42.2265	-60.8513	-31.3267	-63.6369	-19.4442	-62.4408	-7.9076	-55.2768	2.2724	-44.6706	7.1486	-34.3991	5.7114	-29.0027	3.1221	-23.8434	0.0048	-19.6704	-4.1044	-16.3852	-8.6197
vp006	5	0.0529	0.8079	13.02.2025 16:21:08	Ohne Frucht	r	-52.4587	-42.7502	-59.7730	-31.7783	-63.3092	-20.0825	-62.7162	-8.3741	-55.5147	1.3977	-45.2088	6.9165	-34.7129	6.9766	-29.3459	4.5391	-24.3360	0.7885	-20.5818	-3.3283	-16.6639	-8.3847
vp006	5	0.0652	0.8202	13.02.2025 16:21:08	Ohne Frucht	r	-53.1082	-43.6608	-60.7318	-32.7978	-63.4818	-20.5572	-62.3727	-8.3227	-55.2750	1.9745	-44.6933	7.1038	-33.9592	5.6847	-28.6901	2.7419	-23.6245	-0.5817	-19.1651	-4.5063	-15.5868	-8.8469
vp006	5	0.0774	0.8325	13.02.2025 16:21:08	Ohne Frucht	r	-53.3511	-43.5872	-60.6394	-32.7659	-63.1656	-20.6068	-62.1104	-8.7386	-55.6220	1.7565	-44.9005	6.6897	-34.0657	5.7438	-28.8843	3.2182	-24.0090	-0.0195	-19.5294	-3.9503	-15.9330	-8.7153
vp006	5	0.0897	0.8447	13.02.2025 16:21:08	Ohne Frucht	r	-53.3773	-43.7296	-60.2336	-33.4264	-62.8881	-21.3443	-62.1110	-9.2726	-55.7816	0.8601	-45.1708	6.4295	-34.3765	5.7290	-29.1305	2.9105	-24.0156	-0.0693	-19.7006	-3.8260	-15.9326	-8.6191
vp006	5	0.1020	0.8570	13.02.2025 16:21:08	Ohne Frucht	r	-53.5856	-44.3856	-60.3498	-33.9480	-63.4321	-21.8394	-62.4862	-9.8125	-55.8153	0.4754	-45.5357	6.2089	-34.4081	5.6625	-28.8048	2.7150	-23.6096	-0.4020	-18.9273	-4.2950	-15.3692	-9.4150
vp006	5	0.1142	0.8692	13.02.2025 16:21:08	Ohne Frucht	r	-54.2821	-44.5586	-61.2492	-33.8738	-62.6676	-21.8123	-61.6409	-10.0760	-55.9156	0.8545	-45.6472	6.8762	-34.7852	5.7035	-28.8893	3.0851	-23.9479	-0.3369	-19.2592	-4.7424	-16.1407	-9.7162
vp006	5	0.1265	0.8815	13.02.2025 16:21:08	Ohne Frucht	r	-52.4442	-43.7129	-59.1690	-33.2833	-62.6910	-21.4185	-61.2706	-9.1641	-55.5261	0.7810	-45.0170	6.8534	-34.1681	5.9289	-28.9544	3.7096	-24.0371	0.1547	-19.8203	-4.2007	-16.5038	-9.4309
vp006	5	0.1388	0.8938	13.02.2025 16:21:08	Ohne Frucht	r	-53.2026	-43.8131	-59.5938	-33.3296	-63.0543	-21.4828	-61.6022	-9.4229	-55.6058	0.5098	-45.2939	6.6286	-34.5380	6.3901	-28.8460	4.5444	-23.9442	1.0348	-19.4619	-3.2247	-16.3828	-9.0081
vp006	5	0.1510	0.9060	13.02.2025 16:21:08	Ohne Frucht	r	-52.3923	-44.1150	-58.7035	-33.7149	-62.4565	-22.0007	-61.3266	-9.4676	-55.6360	0.2626	-44.7197	6.6737	-33.5888	6.3152	-27.6596	4.3673	-23.3604	0.8261	-19.0985	-3.6831	-15.8140	-8.8667
vp006	6	0.0098	0.7138	13.02.2025 16:21:12	Ohne Adresse	r	-53.8694	-40.8769	-59.7586	-29.7556	-62.1551	-17.5403	-59.8804	-5.4981	-50.3500	2.8874	-38.9901	7.3188	-26.3872	6.9771	-20.5899	5.5163	-14.7883	4.6668	-8.2897	5.3098	-2.2595	5.8160
vp006	6	0.0221	0.7261	13.02.2025 16:21:12	Ohne Adresse	r	-54.5269	-41.0967	-59.5387	-29.7111	-62.0097	-18.1971	-60.2696	-6.3535	-51.0717	2.0985	-39.3095	5.8058	-27.7053	6.1598	-21.9391	4.5679	-15.9819	4.0904	-9.8321	4.9409	-4.0542	5.0616
vp006	6	0.0343	0.7383	13.02.2025 16:21:12	Ohne Adresse	r	-54.3435	-41.7136	-59.4489	-30.4725	-62.0918	-18.5646	-60.9503	-6.4286	-53.0775	3.0701	-40.7202	7.1192	-28.3087	7.0559	-22.4226	4.8894	-16.4427	3.3982	-10.2921	1.9815	-5.0116	-0.1612
vp006	6	0.0466	0.7506	13.02.2025 16:21:12	Ohne Adresse	r	-53.3956	-42.3013	-59.3588	-30.7238	-62.5898	-18.7267	-60.8537	-6.5671	-52.1440	2.3668	-40.3202	6.4645	-28.2948	6.5449	-22.1971	4.8627	-16.4336	3.0552	-10.3220	1.2133	-4.4070	-1.3317
vp006	6	0.0589	0.7629	13.02.2025 16:21:12	Ohne Adresse	r	-53.4159	-41.4277	-59.2154	-30.2184	-62.4436	-18.1140	-60.6160	-5.9866	-51.8987	3.2092	-40.3172	7.7876	-28.1454	6.9644	-22.4952	5.1453	-16.5813	3.3484	-10.8774	0.8181	-5.1102	-2.9507
vp006	7	0.0010	0.7751	13.02.2025 16:21:17	Danke Rotwein	r	-52.9064	-42.3313	-59.3488	-31.9858	-61.7483	-19.4437	-59.9498	-7.9581	-52.4244	1.7034	-41.7202	6.6940	-30.7391	6.4521	-25.4875	4.2522	-20.9107	1.8372	-16.3150	-1.3348	-13.2873	-7.2887
