Client family name	Sequence #	Time of sample in annot	Time of sample in recording	Date Time of recording	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue
vp053	1	0.0036	1.1635	17.06.2025 09:39:32	Ohne Kristall	r	-56.1501	-40.9460	-62.0015	-28.2110	-61.6485	-13.9465	-55.1714	-2.6751	-44.8456	6.3301	-33.0864	9.7491	-20.2065	6.6978	-14.2872	5.4067	-7.0252	4.6885	-0.6651	2.9884	5.6713	0.8357
vp053	1	0.0158	1.1757	17.06.2025 09:39:32	Ohne Kristall	r	-56.3114	-40.1609	-62.1207	-28.3259	-61.4845	-15.1029	-55.1566	-4.6229	-46.1793	3.9605	-34.6293	9.0069	-22.1844	7.0772	-16.2710	5.7344	-9.3947	5.6402	-2.9440	5.1640	3.4177	4.6104
vp053	1	0.0281	1.1880	17.06.2025 09:39:32	Ohne Kristall	r	-58.1948	-39.6815	-63.9919	-28.4875	-62.1111	-15.7509	-56.2801	-5.1488	-47.3633	3.1708	-36.2106	8.6556	-24.1968	7.5759	-18.5752	6.4382	-12.7099	7.0896	-7.3089	8.1720	-1.4992	11.0370
vp053	1	0.0404	1.2002	17.06.2025 09:39:32	Ohne Kristall	r	-57.7414	-40.4603	-63.2715	-28.5734	-61.7265	-16.1982	-56.0935	-4.7937	-47.0598	3.4787	-35.4331	8.7654	-22.8441	7.5803	-16.3718	6.4520	-9.4947	6.9982	-2.9928	7.5107	2.8424	8.8127
vp053	2	0.0028	1.0392	17.06.2025 09:39:36	Ohne betrachten	r	-58.5645	-43.3841	-63.8687	-31.6342	-63.0329	-18.6720	-56.6216	-6.7572	-46.4071	1.9441	-32.3720	6.4093	-18.8865	5.6395	-11.4838	5.2368	-4.1072	4.5933	2.5626	3.1146	8.7304	0.8630
vp053	2	0.0150	1.0514	17.06.2025 09:39:36	Ohne betrachten	r	-59.7196	-44.0749	-65.0180	-32.4349	-64.4870	-18.8837	-58.6878	-8.3581	-48.2888	0.8136	-35.6151	5.4388	-21.8741	5.4425	-15.5775	5.1691	-8.9709	5.2123	-2.5427	4.8034	3.1349	2.6524
vp053	2	0.0273	1.0637	17.06.2025 09:39:36	Ohne betrachten	r	-60.1904	-42.2471	-65.9998	-30.4580	-64.9350	-17.9245	-58.9453	-8.0459	-49.1767	0.9246	-36.7494	5.6665	-23.7540	6.0184	-17.5081	5.8086	-10.8311	6.7972	-5.2407	8.8073	1.1767	12.3762
vp053	2	0.0396	1.0759	17.06.2025 09:39:36	Ohne betrachten	r	-59.6551	-42.8367	-65.6487	-32.0540	-65.9068	-19.7295	-59.1477	-8.8180	-49.9200	0.4175	-37.6255	5.6881	-24.3569	5.7764	-18.0397	5.9951	-11.7566	6.4495	-5.6371	7.9783	0.3522	10.1573
vp053	3	0.0066	1.0548	17.06.2025 09:39:41	Danke Rosine	r	-58.0330	-40.6008	-63.3292	-29.1175	-62.4502	-16.3725	-57.2213	-5.7894	-48.2258	2.8450	-36.4300	7.6953	-24.1512	7.7406	-18.1475	6.5639	-11.9378	7.3849	-5.9184	8.3425	-0.7300	11.0535
vp053	3	0.0189	1.0671	17.06.2025 09:39:41	Danke Rosine	r	-58.1307	-39.2579	-63.1409	-27.7623	-61.5235	-15.4356	-56.3910	-4.7466	-47.9107	3.3532	-36.1542	7.7563	-24.0254	7.4999	-18.2582	6.2044	-12.4632	6.3939	-6.5386	6.6636	-0.6578	8.4975
