Client family name	Sequence #	Time of sample in annot	Time of sample in recording	Date Time of recording	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue
vp020	1	0.0063	1.3630	25.02.2025 17:04:08	Ohne Kröte	r	-65.0852	-41.7049	-69.9902	-27.5891	-73.0610	-14.1612	-69.3340	-1.9119	-59.1268	7.4111	-45.7137	11.8737	-32.9608	9.8597	-26.9437	5.3816	-22.2014	0.7238	-17.0144	-4.3965	-10.4697	-8.2391
vp020	1	0.0185	1.3752	25.02.2025 17:04:08	Ohne Kröte	r	-65.0119	-41.7528	-71.2373	-27.5245	-74.6384	-14.3432	-70.1592	-1.9835	-58.3688	6.1903	-45.7198	10.9412	-32.5526	8.7501	-27.2232	4.3859	-22.5090	-0.4990	-17.1904	-5.2808	-10.5025	-9.0673
vp020	1	0.0308	1.3875	25.02.2025 17:04:08	Ohne Kröte	r	-66.5546	-40.9883	-74.7004	-28.6168	-75.6296	-14.2593	-70.3214	-2.3886	-58.5826	5.7922	-45.3235	10.3383	-33.1206	7.2426	-27.2651	2.9871	-22.2349	-1.3912	-16.7538	-7.0780	-10.7665	-10.1917
vp020	1	0.0430	1.3998	25.02.2025 17:04:08	Ohne Kröte	r	-68.8006	-41.9173	-78.5022	-29.9617	-79.8660	-14.9909	-70.8179	-3.6617	-59.0214	4.3029	-46.0495	8.9960	-33.1809	5.3323	-27.8283	1.3921	-23.1401	-2.9437	-18.3312	-7.4214	-12.5197	-11.0671
vp020	1	0.0553	1.4120	25.02.2025 17:04:08	Ohne Kröte	r	-67.6316	-42.5516	-74.3984	-29.7063	-76.0857	-16.3212	-70.5544	-4.8416	-59.6662	3.0496	-46.8753	8.1718	-33.9386	4.8113	-28.2783	1.3297	-23.4615	-3.3980	-18.9376	-8.9305	-13.6808	-14.2761
vp020	1	0.0676	1.4243	25.02.2025 17:04:08	Ohne Kröte	r	-68.3906	-41.9662	-76.6329	-29.9555	-79.2990	-16.2210	-73.3320	-4.3491	-61.3864	3.5360	-48.1513	6.9809	-35.5673	4.3698	-29.9026	0.8936	-25.2302	-4.1962	-20.7872	-9.2897	-15.7214	-14.1216
vp020	1	0.0798	1.4365	25.02.2025 17:04:08	Ohne Kröte	r	-68.0340	-42.7619	-75.6606	-30.4634	-77.4123	-17.2061	-73.1513	-5.4107	-62.6415	3.4429	-50.0299	6.7685	-37.4055	4.6477	-31.0150	1.0850	-25.8869	-3.4005	-20.7932	-8.5294	-14.8948	-14.3801
vp020	1	0.0921	1.4488	25.02.2025 17:04:08	Ohne Kröte	r	-65.1639	-43.5702	-72.2086	-31.9378	-75.6939	-19.4230	-73.7234	-7.3937	-64.1693	0.7377	-52.7942	5.8511	-39.5030	4.5360	-33.7880	1.7617	-29.2285	-2.0195	-23.8370	-6.4176	-20.2655	-11.8433
vp020	1	0.1044	1.4611	25.02.2025 17:04:08	Ohne Kröte	r	-66.6271	-45.1445	-73.9885	-32.9109	-78.5894	-20.3717	-74.5577	-8.3919	-65.0880	0.6400	-52.9924	6.0119	-40.2179	3.8022	-34.1726	0.7157	-29.4778	-2.7806	-24.8796	-7.1007	-22.4048	-12.1420
vp020	1	0.1166	1.4733	25.02.2025 17:04:08	Ohne Kröte	r	-65.4233	-45.4819	-72.1908	-33.9235	-76.3409	-21.1415	-74.7600	-8.3197	-65.2944	1.5431	-53.2282	5.7122	-40.3486	3.7449	-34.2584	0.7351	-29.9874	-3.3731	-25.4943	-7.5626	-22.9309	-12.7341
