Client family name	Sequence #	Time of sample in annot	Time of sample in recording	Date Time of recording	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue
vp007	1	0.0037	1.5488	14.02.2025 11:49:57	Ohne Kröte	r	-44.3183	-27.2317	-47.2111	-16.9305	-49.3614	-4.8957	-47.4198	6.8712	-40.1446	14.4135	-31.7568	17.9629	-21.3079	13.3343	-15.3772	9.8792	-9.6372	7.1831	-4.0291	3.1779	1.5334	-0.8335
vp007	1	0.0159	1.5611	14.02.2025 11:49:57	Ohne Kröte	r	-46.9212	-29.3988	-52.8139	-19.0633	-55.5920	-5.6685	-52.7599	6.4067	-43.8951	14.5609	-34.3213	16.3263	-22.6750	11.3580	-16.6800	9.3428	-11.3155	6.4638	-5.6601	2.4408	0.3086	-1.9683
vp007	1	0.0282	1.5733	14.02.2025 11:49:57	Ohne Kröte	r	-45.7609	-29.8845	-50.4934	-20.6755	-52.1350	-7.9105	-52.0982	3.7836	-45.2345	12.8202	-34.9297	16.0947	-24.4113	11.6093	-18.2134	9.4028	-12.1167	6.2907	-6.4837	1.8771	-0.3772	-3.5559
vp007	1	0.0404	1.5856	14.02.2025 11:49:57	Ohne Kröte	r	-45.7240	-30.3303	-51.8531	-20.7906	-55.1994	-9.4574	-53.3503	3.4999	-46.1154	12.0577	-34.9878	15.4261	-23.9778	10.7248	-16.8866	8.2790	-11.8676	5.3958	-4.6852	0.6081	0.5824	-3.7610
vp007	1	0.0527	1.5979	14.02.2025 11:49:57	Ohne Kröte	r	-45.5695	-28.9961	-50.9765	-20.0221	-53.3877	-8.7670	-52.6206	3.8638	-45.6884	11.8729	-35.4368	14.0990	-24.2785	10.4106	-17.8350	8.1377	-12.2290	5.7398	-5.6189	0.6491	-0.3441	-3.4502
vp007	1	0.0650	1.6102	14.02.2025 11:49:57	Ohne Kröte	r	-45.6256	-29.9474	-51.4193	-21.2186	-55.7033	-11.6848	-53.9887	2.6249	-48.3741	9.8137	-37.1466	14.1423	-25.7987	10.2075	-19.0702	7.9511	-12.8010	5.5692	-5.8859	-2.2138	-0.5988	-5.9707
vp007	1	0.0772	1.6224	14.02.2025 11:49:57	Ohne Kröte	r	-47.2504	-30.1798	-55.9350	-21.7087	-60.5077	-9.5557	-57.6224	3.3043	-48.8832	10.2934	-37.6074	13.4163	-26.1679	9.9741	-20.0814	8.0637	-13.4876	5.8295	-7.3794	2.0745	-1.0160	-2.8803
vp007	1	0.0895	1.6346	14.02.2025 11:49:57	Ohne Kröte	r	-46.1187	-29.9762	-53.0789	-21.4433	-58.3136	-10.4422	-56.2309	3.0004	-48.5448	10.5190	-37.4291	13.7810	-25.9256	10.1730	-19.3754	7.5882	-12.6722	5.1228	-5.3917	-0.6087	0.0222	-4.9213
vp007	1	0.1018	1.6469	14.02.2025 11:49:57	Ohne Kröte	r	-45.1659	-29.8672	-52.3851	-20.8563	-57.4630	-9.8804	-55.0804	2.9785	-47.1354	10.3444	-36.2898	13.5168	-24.7355	9.3625	-18.2285	6.9874	-11.8146	4.7011	-5.1678	-0.0460	0.2476	-4.3776
vp007	1	0.1140	1.6592	14.02.2025 11:49:57	Ohne Kröte	r	-46.3936	-29.9822	-55.7553	-21.3418	-59.8662	-8.9985	-56.6496	2.8949	-47.9470	9.9988	-37.3773	13.4003	-25.4517	9.4526	-19.1529	7.2538	-12.7854	5.3539	-5.3866	-0.7654	-0.1466	-4.3180
