Client family name	Sequence #	Time of sample in annot	Time of sample in recording	Date Time of recording	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue
vp047	5	0.0082	1.4224	11.04.2025 12:00:03	Ohne Luftfracht	r	-72.2244	-28.8421	-76.2604	-17.1486	-71.8099	-6.1762	-62.9676	0.2309	-51.9344	3.6923	-41.6536	6.4021	-31.5839	5.7344	-26.5963	5.4881	-21.1378	6.5949	-15.6914	8.1970	-11.3756	10.3476
vp047	5	0.0205	1.4347	11.04.2025 12:00:03	Ohne Luftfracht	r	-72.2951	-28.9443	-76.1724	-17.6234	-72.1646	-6.6612	-63.1260	0.0686	-51.5576	3.3673	-40.8958	6.2839	-29.6963	5.4007	-24.1346	4.7767	-18.8104	5.5269	-13.2376	5.9541	-8.3305	5.6931
vp047	6	0.0026	0.8439	11.04.2025 12:00:08	Danke Runde	r	-69.5571	-28.5440	-73.6334	-16.6928	-69.5184	-5.7851	-60.5221	1.9812	-50.3359	7.2337	-39.4872	9.7680	-27.2312	8.4656	-21.3478	7.6066	-16.1131	7.0738	-9.6350	6.5233	-3.4247	5.0977
vp047	6	0.0148	0.8561	11.04.2025 12:00:08	Danke Runde	r	-69.7752	-27.8325	-74.2078	-16.2703	-70.6731	-5.0655	-61.7052	2.0037	-50.9008	6.5597	-39.9897	9.1301	-27.8520	8.7841	-21.8873	8.1997	-16.1329	7.7396	-10.1934	7.2302	-3.8812	5.7596
vp047	6	0.0271	0.8684	11.04.2025 12:00:08	Danke Runde	r	-68.8375	-26.9649	-73.1161	-16.2485	-70.6133	-4.5739	-61.0061	3.2153	-50.0363	7.3877	-38.1054	9.8135	-26.5518	7.9963	-20.2816	7.1985	-14.5443	6.3943	-8.1641	5.0086	-3.3168	2.4768
vp047	6	0.0393	0.8807	11.04.2025 12:00:08	Danke Runde	r	-68.7898	-26.5306	-73.5841	-15.8808	-71.8178	-4.3837	-63.3135	3.4569	-52.1527	8.0991	-41.1572	9.6967	-29.3584	8.3972	-23.6835	7.7043	-17.7691	7.2093	-11.6666	6.5374	-5.8620	5.7705
vp047	6	0.0516	0.8929	11.04.2025 12:00:08	Danke Runde	r	-69.7335	-27.6085	-74.5540	-16.4984	-72.0840	-4.8383	-64.0494	3.4301	-53.9678	8.3998	-42.4091	10.0493	-30.7749	8.3658	-25.1530	7.2359	-19.0781	7.5854	-13.0224	6.7450	-7.1674	5.7425
vp047	7	0.0048	1.1354	11.04.2025 12:00:13	Danke Zentrum	r	-70.6381	-29.2389	-74.1494	-17.8296	-70.4646	-6.7645	-62.3504	2.1041	-51.4561	5.4266	-40.3931	6.9476	-28.9869	5.6529	-23.6508	5.3089	-17.8379	5.2233	-12.1727	4.5730	-6.9183	2.9598
vp047	7	0.0170	1.1477	11.04.2025 12:00:13	Danke Zentrum	r	-70.4130	-29.8776	-74.8521	-17.7403	-72.0588	-6.6763	-63.2882	2.2856	-52.6238	5.9854	-41.0608	7.6475	-29.6431	5.9838	-24.0548	5.3249	-18.5556	5.2360	-12.5013	4.5679	-6.8698	2.6752
vp047	7	0.0293	1.1600	11.04.2025 12:00:13	Danke Zentrum	r	-70.9407	-29.1725	-74.8689	-16.7211	-71.9056	-5.1400	-63.9325	2.7522	-53.0216	7.3286	-41.7438	8.9076	-30.5798	6.9907	-25.3599	5.9183	-19.6060	6.0169	-14.2690	6.1900	-8.7730	6.0283
vp047	7	0.0416	1.1722	11.04.2025 12:00:13	Danke Zentrum	r	-70.1304	-29.4330	-74.5488	-17.7997	-72.4721	-5.5511	-64.8217	3.0727	-54.8840	7.9604	-43.0123	10.1000	-32.3076	7.7562	-26.9228	6.5665	-21.9473	6.5730	-16.7372	5.6254	-11.7521	5.0274
vp047	8	0.0041	0.9912	11.04.2025 12:00:18	Ohne einrahmen	r	-73.9682	-34.0143	-76.0003	-21.6826	-70.9104	-10.6184	-62.7725	-2.4624	-51.6797	0.4146	-40.5032	3.5411	-29.5908	4.9365	-23.9974	4.3963	-18.1687	4.6712	-12.8698	5.1793	-7.5842	5.8825
vp047	8	0.0164	1.0035	11.04.2025 12:00:18	Ohne einrahmen	r	-73.8826	-31.2493	-76.4253	-19.4916	-70.6529	-9.3318	-63.1110	-1.4678	-52.2846	1.6278	-41.6221	4.6843	-31.0663	5.0578	-25.0686	4.4783	-18.9464	5.0313	-13.6668	5.3421	-8.6316	3.7847
vp047	8	0.0286	1.0158	11.04.2025 12:00:18	Ohne einrahmen	r	-72.8733	-29.5730	-75.7093	-18.5440	-70.5769	-8.2956	-62.3274	-1.0839	-51.8293	1.9343	-41.4459	5.1493	-30.6124	5.5887	-24.9972	4.7179	-18.6503	5.2243	-13.2175	5.4516	-8.0100	4.5467
vp047	8	0.0409	1.0280	11.04.2025 12:00:18	Ohne einrahmen	r	-72.9947	-30.3505	-76.5584	-18.6677	-71.4472	-8.0099	-62.6638	-0.7005	-51.7631	2.7513	-41.2540	5.9036	-29.7374	6.1542	-24.2250	5.1751	-18.5636	5.6103	-13.2264	5.2575	-8.4177	3.5323
vp047	8	0.0532	1.0403	11.04.2025 12:00:18	Ohne einrahmen	r	-72.2115	-29.6499	-76.0619	-18.4908	-71.9635	-7.4584	-63.0993	-0.1823	-51.9422	3.3276	-41.0276	6.7277	-29.5040	6.5367	-23.8361	6.2382	-18.4972	6.7896	-12.8298	6.3022	-7.9720	3.9756
vp047	9	0.0114	1.5256	11.04.2025 12:00:24	Bitte Afrika	r	-72.1795	-27.9587	-74.1520	-15.8173	-68.7289	-6.5424	-59.7842	0.4969	-49.3794	4.6080	-39.7618	7.6224	-28.8267	6.9332	-23.6158	5.9145	-17.9973	5.9285	-12.6861	5.8731	-7.4841	5.3665
vp047	9	0.0237	1.5378	11.04.2025 12:00:24	Bitte Afrika	r	-71.1866	-28.0378	-73.2991	-15.9801	-67.5407	-6.4108	-58.8225	0.7077	-48.9494	5.6980	-38.7213	10.2207	-27.3442	9.3425	-22.2228	7.8574	-16.8729	6.4176	-11.3383	5.1753	-6.5560	2.9822
vp047	9	0.0359	1.5501	11.04.2025 12:00:24	Bitte Afrika	r	-70.8944	-27.4980	-72.4891	-15.0355	-66.1247	-5.2906	-57.5457	1.6496	-47.9041	8.1798	-38.2753	13.2872	-27.4004	12.1897	-22.1184	10.6016	-16.2787	9.0921	-10.8301	7.7853	-5.3310	6.9801
vp047	9	0.0482	1.5623	11.04.2025 12:00:24	Bitte Afrika	r	-70.6078	-27.0757	-70.8983	-14.4107	-64.5659	-5.6439	-56.1238	2.1417	-47.6688	10.1613	-38.0406	15.8800	-26.2865	13.6763	-21.4536	11.4620	-15.8646	9.3934	-10.6027	8.0047	-4.7487	7.2577
vp047	10	0.0041	0.8931	11.04.2025 12:00:30	Danke Revolution	r	-67.4769	-26.6611	-70.6463	-14.8182	-66.4349	-4.1344	-57.0260	2.0693	-47.5801	8.0104	-37.4068	11.3169	-26.7680	9.9227	-20.8072	9.2307	-15.5588	8.0678	-9.7160	7.1984	-3.9499	5.7331
vp047	10	0.0164	0.9054	11.04.2025 12:00:30	Danke Revolution	r	-67.0455	-25.5791	-69.3966	-13.8418	-65.1116	-3.4930	-55.8060	2.8251	-46.6708	8.7069	-36.3877	11.8638	-25.6511	10.7632	-20.2165	10.0264	-14.6481	9.3784	-8.9013	8.2427	-3.2931	5.6151
vp047	10	0.0286	0.9177	11.04.2025 12:00:30	Danke Revolution	r	-66.6941	-26.1080	-69.6180	-14.0047	-65.0761	-3.3012	-54.9160	2.5633	-45.8188	8.8286	-35.5993	12.3297	-24.9588	10.5520	-19.8715	8.9939	-14.5641	7.3419	-8.6456	6.0591	-3.5115	3.8456
vp047	10	0.0409	0.9299	11.04.2025 12:00:30	Danke Revolution	r	-67.7489	-25.9993	-69.4209	-13.5469	-64.0074	-3.9607	-54.2220	2.3815	-45.4755	8.8555	-35.8813	12.6861	-24.7490	11.6808	-19.4680	9.8043	-14.2448	7.7586	-8.5635	6.1676	-3.2161	3.7140
vp047	10	0.0531	0.9422	11.04.2025 12:00:30	Danke Revolution	r	-66.6721	-24.9458	-68.1673	-12.7722	-62.3061	-3.8294	-52.8952	2.6454	-44.3285	9.5414	-35.0941	13.7240	-24.3701	13.0086	-19.0585	11.0755	-13.6787	9.0646	-8.5294	7.2782	-3.0626	4.7709
vp047	11	0.0040	1.0721	11.04.2025 12:00:35	Bitte Größe	r	-66.7538	-28.2944	-69.6265	-16.2197	-66.4061	-4.2350	-59.5663	5.1641	-50.6831	12.4430	-37.9661	13.9560	-27.6980	9.0645	-21.7406	6.0358	-15.7888	3.5935	-10.1588	1.4393	-5.2777	-1.3227
vp047	11	0.0163	1.0844	11.04.2025 12:00:35	Bitte Größe	r	-68.4147	-27.0642	-71.4945	-15.4468	-67.7874	-4.5109	-60.2708	4.0342	-51.0814	11.3843	-38.8806	13.2931	-28.1449	8.8113	-22.0277	6.9426	-16.0558	5.5886	-9.8676	5.2399	-4.2229	4.0557
vp047	11	0.0285	1.0966	11.04.2025 12:00:35	Bitte Größe	r	-68.9924	-27.3999	-72.5820	-15.8936	-69.0951	-4.6967	-60.6499	3.3435	-50.7449	10.1996	-38.8304	12.2171	-27.5275	9.3780	-21.3506	8.2519	-15.6769	7.4405	-9.0503	6.8503	-3.1937	4.6936
vp047	11	0.0408	1.1089	11.04.2025 12:00:35	Bitte Größe	r	-67.7623	-26.1699	-72.2748	-15.1575	-68.2588	-4.1036	-59.2226	3.3330	-49.6915	9.8378	-37.7668	11.8323	-26.5968	8.7666	-20.4560	7.1601	-14.9491	5.8204	-8.7968	4.7010	-3.1011	3.0236
vp047	12	0.0039	0.7268	11.04.2025 12:00:40	Danke Respekt	r	-69.7747	-27.9585	-73.2177	-15.5503	-68.6166	-4.9360	-57.9567	1.3101	-48.2239	7.4153	-37.7095	11.0382	-26.1315	9.1902	-20.3250	7.9676	-14.8975	7.1945	-8.7845	6.2824	-2.8540	3.9062
vp047	12	0.0162	0.7390	11.04.2025 12:00:40	Danke Respekt	r	-71.2567	-27.8316	-75.0991	-16.2336	-69.5940	-5.3549	-59.0575	0.8108	-48.9745	6.3039	-38.2548	10.3960	-26.5358	8.4261	-20.1724	7.3836	-14.2924	6.8923	-8.2254	5.9534	-2.6927	3.4967
vp047	13	0.0060	1.0531	11.04.2025 12:00:45	Danke Graffiti	r	-65.8143	-27.4168	-69.8484	-15.4343	-67.1200	-3.4015	-60.3035	6.1329	-51.0162	12.6765	-38.6327	14.6061	-28.1277	10.9313	-22.4966	7.8299	-16.5977	5.6809	-11.0805	4.3429	-4.9149	3.9362
vp047	13	0.0183	1.0653	11.04.2025 12:00:45	Danke Graffiti	r	-67.3034	-28.1055	-70.9042	-16.5642	-68.8583	-4.5934	-61.4707	4.4139	-51.6415	10.9458	-39.9934	13.1739	-29.7394	11.0061	-23.8457	9.5777	-18.2502	8.2790	-11.9707	8.1230	-6.0383	7.8810
vp047	13	0.0306	1.0776	11.04.2025 12:00:45	Danke Graffiti	r	-68.0815	-29.4181	-72.7512	-17.8220	-70.0751	-5.5474	-61.9932	2.7303	-52.0145	9.4479	-39.7850	11.8311	-28.8799	9.3955	-22.6910	7.8710	-16.9758	6.8140	-10.3806	6.4975	-4.3046	5.5630
vp047	14	0.0007	1.5183	11.04.2025 12:00:51	Danke Jura	r	-67.9758	-27.0473	-72.3240	-16.5262	-69.6804	-5.4648	-61.3542	1.3990	-50.5111	4.5568	-39.4353	5.6686	-28.8440	4.9525	-23.7763	4.9995	-18.5914	5.7343	-13.0757	6.1071	-7.7265	6.8624
vp047	14	0.0130	1.5305	11.04.2025 12:00:51	Danke Jura	r	-68.6150	-27.2445	-73.3255	-17.7858	-70.8113	-7.1914	-62.5142	0.0317	-51.8285	3.6585	-40.8007	5.5997	-30.4311	5.8246	-25.1371	6.5193	-19.6037	8.0770	-14.5530	9.9089	-9.6139	11.5946
vp047	14	0.0252	1.5428	11.04.2025 12:00:51	Danke Jura	r	-70.6820	-28.0731	-74.7748	-17.5693	-70.8758	-6.7863	-61.4966	0.3067	-50.6961	3.8883	-39.5423	5.5810	-28.7004	5.5079	-23.3797	5.9355	-18.1765	6.2120	-12.3117	5.8090	-7.2386	4.2067
vp047	14	0.0375	1.5551	11.04.2025 12:00:51	Danke Jura	r	-70.7220	-28.6644	-74.7173	-17.8022	-71.2337	-6.3702	-62.1441	1.1174	-50.9739	3.7139	-40.2867	6.0382	-29.4653	6.2110	-24.1490	6.5009	-18.7465	7.1651	-12.8784	6.7380	-7.5323	5.7785
vp047	14	0.0498	1.5674	11.04.2025 12:00:51	Danke Jura	r	-70.8546	-29.3279	-75.9601	-18.7097	-72.8782	-7.7964	-63.3268	0.0611	-51.6290	3.6835	-40.5449	6.0642	-29.8139	6.5196	-24.5676	6.6986	-18.9544	7.3863	-13.4437	8.0175	-8.5727	9.3511
vp047	15	0.0054	1.0175	11.04.2025 12:00:56	Bitte Reptil	r	-68.3899	-28.7127	-69.8710	-17.2561	-66.1072	-7.2392	-57.7543	0.3508	-48.1053	5.0185	-36.8095	7.7590	-26.1728	6.8361	-20.5388	6.2936	-14.9667	5.8091	-9.5448	4.5869	-4.3369	2.2419
vp047	15	0.0176	1.0298	11.04.2025 12:00:56	Bitte Reptil	r	-68.5919	-29.6180	-70.5605	-17.5756	-66.9510	-7.7834	-59.2618	0.9100	-49.5789	5.4996	-38.5862	8.3392	-27.4560	7.6358	-22.0098	7.1140	-16.3314	6.9760	-10.5641	6.6651	-4.9508	4.8642
vp047	15	0.0299	1.0421	11.04.2025 12:00:56	Bitte Reptil	r	-67.9375	-29.2805	-70.9665	-17.5437	-67.3927	-7.1699	-58.8688	1.8345	-48.3834	6.0979	-36.5916	8.8192	-25.6130	8.2852	-19.4509	7.1739	-13.9980	6.5565	-7.7368	5.3279	-2.5653	2.8185
vp047	15	0.0421	1.0543	11.04.2025 12:00:56	Bitte Reptil	r	-67.3886	-28.0826	-70.6347	-16.4253	-67.2640	-5.3718	-58.7276	2.3349	-48.1697	6.7444	-37.0203	9.4331	-25.9631	9.3386	-19.6590	8.5172	-14.2961	7.7806	-8.1152	6.6309	-2.8500	3.2962
vp047	15	0.0544	1.0666	11.04.2025 12:00:56	Bitte Reptil	r	-68.5143	-29.2510	-71.9952	-17.7017	-68.2465	-6.2154	-59.2920	2.2327	-48.5378	6.8498	-36.5854	9.9136	-25.3977	9.3628	-19.5622	8.6329	-14.0278	7.4541	-7.9767	6.3135	-2.3680	3.3550
vp047	15	0.0667	1.0789	11.04.2025 12:00:56	Bitte Reptil	r	-67.4251	-27.5045	-70.9747	-15.5819	-67.2845	-4.5202	-57.8489	2.4752	-47.4199	6.9879	-36.6832	10.7135	-24.7437	10.4176	-19.4767	9.2512	-13.9040	7.8465	-7.6239	6.4000	-2.2568	3.9503
vp047	16	0.0069	0.9014	11.04.2025 12:01:02	Ohne Front	r	-68.9944	-27.5473	-73.9267	-17.1186	-72.6466	-5.6029	-63.6039	1.9134	-52.9316	5.2290	-41.6129	7.1656	-30.5753	5.7125	-24.8893	5.1522	-18.8046	6.6677	-13.2091	7.7620	-7.9904	9.8396
vp047	16	0.0192	0.9137	11.04.2025 12:01:02	Ohne Front	r	-69.1538	-26.9014	-74.2694	-16.5837	-72.4212	-5.4526	-64.3545	2.0120	-53.5380	5.1621	-42.1614	7.0645	-31.3309	5.4246	-25.3676	4.7814	-19.2042	5.3470	-13.3234	5.6212	-7.5794	4.7788
