Client family name	Sequence #	Time of sample in annot	Time of sample in recording	Date Time of recording	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue
vp053	1	0.0010	1.3654	17.06.2025 09:53:17	Ohne Kröte	r	-61.6537	-39.7328	-65.8164	-28.9187	-64.1837	-16.7039	-57.2580	-6.5886	-48.1456	1.2550	-36.2092	5.5624	-23.3461	3.0878	-16.7951	1.8805	-9.4501	1.5525	-2.9171	0.0698	4.0253	-1.5523
vp053	1	0.0133	1.3776	17.06.2025 09:53:17	Ohne Kröte	r	-61.0269	-43.4471	-67.7402	-32.7844	-66.9624	-20.5722	-60.1846	-10.0356	-50.6336	-0.8870	-38.7005	4.2591	-25.8193	3.5991	-19.8106	2.6329	-13.7073	3.1838	-8.1977	3.2327	-1.4525	5.2283
vp053	1	0.0255	1.3899	17.06.2025 09:53:17	Ohne Kröte	r	-61.3191	-43.2153	-66.9864	-32.1245	-66.3164	-19.7104	-59.3010	-8.8385	-49.5781	-0.3400	-37.6960	4.7100	-24.6827	3.9857	-18.7109	2.7709	-12.7706	3.1971	-5.8350	4.3000	0.3731	6.5760
vp053	1	0.0378	1.4022	17.06.2025 09:53:17	Ohne Kröte	r	-62.2586	-47.2148	-67.0805	-34.1298	-66.2676	-20.2552	-60.1569	-9.9825	-49.5995	-0.4980	-37.9279	4.7025	-25.0296	4.4330	-18.7403	3.0581	-12.4326	3.0921	-6.3666	2.6268	0.2615	3.1732
vp053	1	0.0500	1.4144	17.06.2025 09:53:17	Ohne Kröte	r	-61.0478	-43.0750	-67.4425	-32.0897	-66.5929	-19.8705	-60.2195	-9.5058	-51.1793	-0.9222	-39.6764	4.9692	-27.7717	5.1447	-21.5987	4.3480	-15.6143	4.3341	-9.6580	4.7398	-2.5761	5.5838
vp053	2	0.0004	1.3461	17.06.2025 09:53:21	Bitte Zigarette	r	-63.0527	-47.4329	-67.5184	-35.2329	-66.8095	-21.2524	-60.2046	-11.0976	-50.8559	-2.2504	-38.3409	2.9956	-24.9032	1.7152	-18.2669	0.9671	-11.1580	0.3860	-4.6127	-0.6231	1.1974	-2.8017
vp053	2	0.0127	1.3584	17.06.2025 09:53:21	Bitte Zigarette	r	-62.3591	-46.8813	-67.7625	-34.3757	-66.9712	-21.1676	-60.3022	-11.2687	-50.7406	-2.2920	-38.8447	3.1787	-25.7324	2.4824	-19.7166	1.9906	-13.4076	2.4690	-7.2125	4.1206	-1.8908	7.3058
vp053	2	0.0250	1.3706	17.06.2025 09:53:21	Bitte Zigarette	r	-62.4542	-44.7664	-67.7887	-33.6379	-66.8799	-21.1016	-60.9206	-10.9827	-50.7423	-2.1316	-39.6823	3.5231	-27.0815	3.2185	-21.2192	2.6927	-15.1310	2.8968	-9.3037	3.4924	-3.1115	5.2656
vp053	2	0.0372	1.3829	17.06.2025 09:53:21	Bitte Zigarette	r	-61.7668	-47.0643	-67.1094	-34.7523	-66.5996	-21.1143	-60.7427	-11.6040	-50.8242	-2.1775	-38.8949	3.8754	-26.2519	3.4213	-19.7366	2.6401	-13.6232	2.6446	-7.4277	2.2768	-1.1416	3.0993
vp053	3	0.0113	1.1960	17.06.2025 09:53:26	Bitte Kredit	r	-63.5311	-44.4280	-66.3087	-31.1929	-64.1551	-17.3647	-58.7958	-7.6823	-49.5654	1.5996	-37.2299	5.1028	-24.8428	2.4309	-17.6367	0.9741	-9.7957	-0.2775	-3.3874	-2.2072	2.6685	-5.0556
vp053	3	0.0236	1.2082	17.06.2025 09:53:26	Bitte Kredit	r	-61.9948	-43.2088	-66.2345	-31.1759	-64.5674	-18.2698	-59.4899	-8.6181	-49.8567	0.5997	-38.2058	4.9361	-25.5644	3.3651	-18.9553	1.6507	-12.2486	1.4786	-4.4710	-0.2772	0.7045	-2.4722
vp053	3	0.0358	1.2205	17.06.2025 09:53:26	Bitte Kredit	r	-61.9483	-40.0663	-66.0854	-29.6043	-64.3872	-17.8791	-58.2641	-7.3654	-49.3662	0.8739	-37.1227	5.3975	-23.6940	4.0138	-16.9834	2.7915	-9.7424	2.7970	-2.8366	3.6124	4.2392	5.4962
vp053	3	0.0481	1.2327	17.06.2025 09:53:26	Bitte Kredit	r	-61.7549	-41.5893	-66.3557	-30.6287	-64.2148	-18.5359	-59.1620	-8.4834	-50.4257	0.3117	-38.4390	5.1106	-26.0535	3.9583	-19.4964	2.7376	-12.9158	2.4320	-6.4931	2.0683	-0.5919	0.3186
vp053	4	0.0022	1.5310	17.06.2025 09:53:31	Bitte Beitrag	r	-62.7653	-44.8931	-66.5809	-33.3369	-65.2066	-21.3861	-59.7963	-10.5730	-48.7073	-1.7867	-35.6017	2.0848	-21.6750	1.7175	-15.1008	1.0688	-7.9814	0.2943	-1.2610	-1.3565	4.6459	-3.6615
vp053	4	0.0145	1.5433	17.06.2025 09:53:31	Bitte Beitrag	r	-63.8562	-44.2102	-69.0006	-32.7753	-66.0034	-20.6963	-60.3871	-10.4006	-49.5877	-2.1519	-37.0486	2.2145	-24.3925	2.0754	-18.4928	1.6611	-12.7192	1.5123	-6.5331	0.6392	-1.3068	-0.5774
vp053	4	0.0267	1.5556	17.06.2025 09:53:31	Bitte Beitrag	r	-61.9309	-44.6765	-67.6417	-34.4689	-67.5758	-23.0903	-61.8712	-12.4072	-52.9620	-3.5028	-41.1342	2.1379	-27.9597	2.4318	-21.2794	2.4309	-15.5517	2.8061	-10.1118	4.3996	-5.5296	7.9587
vp053	4	0.0390	1.5678	17.06.2025 09:53:31	Bitte Beitrag	r	-63.5146	-44.1371	-68.6375	-32.7578	-66.9407	-21.0538	-60.9387	-10.5587	-51.8433	-2.3906	-40.0353	2.2365	-27.3034	2.1918	-20.7460	2.0376	-15.1311	1.9705	-9.3235	2.6234	-3.7400	2.9327
vp053	5	0.0106	1.2948	17.06.2025 09:53:36	Danke prallen	r	-63.7293	-45.6853	-69.5855	-35.1034	-68.3632	-21.9634	-61.2802	-11.1625	-50.8391	-2.5305	-37.0299	1.9271	-23.2860	1.3190	-16.6403	-0.0378	-9.4658	-1.3162	-2.7755	-3.7266	3.9534	-7.3606
vp053	5	0.0229	1.3071	17.06.2025 09:53:36	Danke prallen	r	-63.8523	-46.1990	-69.7075	-35.6400	-68.7472	-22.3259	-61.7093	-10.8555	-50.7860	-2.1851	-36.9403	2.2014	-22.6069	1.4545	-16.0642	0.6186	-9.1184	-0.3692	-2.4852	-2.7189	3.9998	-6.6787
vp053	5	0.0351	1.3193	17.06.2025 09:53:36	Danke prallen	r	-64.3039	-46.1091	-69.6498	-35.5700	-69.2752	-22.8016	-62.7730	-11.8728	-53.3562	-3.0032	-40.7513	2.2028	-27.3700	2.1216	-20.4479	1.7403	-14.1115	1.4830	-8.1882	2.0474	-1.8857	3.5814
vp053	5	0.0474	1.3316	17.06.2025 09:53:36	Danke prallen	r	-64.0975	-45.9636	-70.1737	-35.2728	-69.3276	-22.2357	-62.4004	-11.1224	-52.9252	-2.6381	-40.7145	2.3950	-28.4116	2.6465	-22.1924	2.0318	-15.6378	3.4574	-10.2831	6.1479	-5.4314	10.7047
vp053	5	0.0597	1.3438	17.06.2025 09:53:36	Danke prallen	r	-63.7720	-45.7608	-69.3804	-35.2092	-69.0828	-22.6707	-62.8796	-11.6429	-53.3347	-2.9940	-40.9358	2.2008	-27.8316	2.5888	-21.3491	2.5371	-14.6658	2.8396	-8.7580	3.0961	-1.6391	4.4505
vp053	6	0.0044	1.4257	17.06.2025 09:53:41	Ohne ausrasten	r	-63.6877	-45.4566	-69.2930	-35.1026	-68.4032	-22.5834	-61.8085	-12.3691	-51.3541	-3.3723	-38.1035	2.0606	-24.2158	2.2818	-17.2931	1.8638	-9.5942	1.0979	-3.4755	-0.4016	2.9246	-2.5836
vp053	6	0.0166	1.4380	17.06.2025 09:53:41	Ohne ausrasten	r	-63.7671	-46.7704	-68.9730	-36.0291	-68.1959	-23.3548	-62.0003	-11.5332	-51.2609	-2.7658	-37.4915	2.7884	-22.9680	2.6034	-15.6005	1.8103	-8.1398	0.8783	-1.4278	-1.1325	5.2889	-4.0833
